Date,Frequency
2019-08-02,53
2019-08-03,13
2019-08-04,15
2019-08-05,288
2019-08-06,131
2019-08-07,77
2019-08-08,60
2019-08-09,49
2019-08-10,15
2019-08-11,13
2019-08-12,68
2019-08-13,83
2019-08-14,181
2019-08-15,138
2019-08-16,64
2019-08-17,17
2019-08-18,26
2019-08-19,63
2019-08-20,84
2019-08-21,41
2019-08-22,85
2019-08-23,206
2019-08-24,38
2019-08-25,49
2019-08-26,117
2019-08-27,68
2019-08-28,53
2019-08-29,47
2019-08-30,51
2019-08-31,24
2019-09-01,28
2019-09-02,56
2019-09-03,73
2019-09-04,45
2019-09-05,84
2019-09-06,56
2019-09-07,24
2019-09-08,19
2019-09-09,40
2019-09-10,33
2019-09-11,40
2019-09-12,63
2019-09-13,65
2019-09-14,54
2019-09-15,24
2019-09-16,34
2019-09-17,42
2019-09-18,42
2019-09-19,34
2019-09-20,41
2019-09-21,26
2019-09-22,17
2019-09-23,43
2019-09-24,35
2019-09-25,44
2019-09-26,43
2019-09-27,43
2019-09-28,13
2019-09-29,18
2019-09-30,74
2019-10-01,56
2019-10-02,91
2019-10-03,84
2019-10-04,50
2019-10-05,21
2019-10-06,42
2019-10-07,59
2019-10-08,57
2019-10-09,70
2019-10-10,43
2019-10-11,69
2019-10-12,34
2019-10-13,17
2019-10-14,57
2019-10-15,57
2019-10-16,36
2019-10-17,43
2019-10-18,43
2019-10-19,32
2019-10-20,16
2019-10-21,33
2019-10-22,57
2019-10-23,30
2019-10-24,52
2019-10-25,29
2019-10-26,59
2019-10-27,23
2019-10-28,42
2019-10-29,38
2019-10-30,38
2019-10-31,68
2019-11-01,55
2019-11-02,13
2019-11-03,17
2019-11-04,94
2019-11-05,263
2019-11-06,70
2019-11-07,83
2019-11-08,68
2019-11-09,14
2019-11-10,18
2019-11-11,39
2019-11-12,61
2019-11-13,63
2019-11-14,55
2019-11-15,84
2019-11-16,48
2019-11-17,32
2019-11-18,68
2019-11-19,73
2019-11-20,67
2019-11-21,58
2019-11-22,79
2019-11-23,16
2019-11-24,40
2019-11-25,54
2019-11-26,52
2019-11-27,45
2019-11-28,33
2019-11-29,43
2019-11-30,8
2019-12-01,20
2019-12-02,66
2019-12-03,110
2019-12-04,90
2019-12-05,50
2019-12-06,54
2019-12-07,20
2019-12-08,16
2019-12-09,54
2019-12-10,77
2019-12-11,46
2019-12-12,64
2019-12-13,122
2019-12-14,36
2019-12-15,14
2019-12-16,66
2019-12-17,62
2019-12-18,54
2019-12-19,53
2019-12-20,66
2019-12-21,29
2019-12-22,17
2019-12-23,45
2019-12-24,43
2019-12-25,9
2019-12-26,38
2019-12-27,56
2019-12-28,33
2019-12-29,18
2019-12-30,43
2019-12-31,74
2020-01-01,26
2020-01-02,64
2020-01-03,64
2020-01-04,24
2020-01-05,15
2020-01-06,51
2020-01-07,63
2020-01-08,54
2020-01-09,69
2020-01-10,95
2020-01-11,30
2020-01-12,64
2020-01-13,70
2020-01-14,60
2020-01-15,93
2020-01-16,83
2020-01-17,79
2020-01-18,38
2020-01-19,25
2020-01-20,39
2020-01-21,43
2020-01-22,65
2020-01-23,32
2020-01-24,41
2020-01-25,32
2020-01-26,25
2020-01-27,76
2020-01-28,64
2020-01-29,51
2020-01-30,62
2020-01-31,83
2020-02-01,31
2020-02-02,23
2020-02-03,72
2020-02-04,47
2020-02-05,68
2020-02-06,53
2020-02-07,38
2020-02-08,32
2020-02-09,15
2020-02-10,73
2020-02-11,77
2020-02-12,70
2020-02-13,56
2020-02-14,46
2020-02-15,24
2020-02-16,17
2020-02-17,30
2020-02-18,45
2020-02-19,91
2020-02-20,71
2020-02-21,44
2020-02-22,25
2020-02-23,23
2020-02-24,235
2020-02-25,265
2020-02-26,153
2020-02-27,362
2020-02-28,387
2020-02-29,123
2020-03-01,53
2020-03-02,158
2020-03-03,156
2020-03-04,96
2020-03-05,143
2020-03-06,155
2020-03-07,49
2020-03-08,54
2020-03-09,661
2020-03-10,222
2020-03-11,202
2020-03-12,447
2020-03-13,278
2020-03-14,94
2020-03-15,75
2020-03-16,349
2020-03-17,200
2020-03-18,333
2020-03-19,133
2020-03-20,182
2020-03-21,90
2020-03-22,56
2020-03-23,180
2020-03-24,215
2020-03-25,185
2020-03-26,137
2020-03-27,129
2020-03-28,46
2020-03-29,54
2020-03-30,85
2020-03-31,110
2020-04-01,100
2020-04-02,72
2020-04-03,62
2020-04-04,28
2020-04-05,37
2020-04-06,109
2020-04-07,80
2020-04-08,85
2020-04-09,90
2020-04-10,53
2020-04-11,21
2020-04-12,25
2020-04-13,80
2020-04-14,86
2020-04-15,72
2020-04-16,89
2020-04-17,74
2020-04-18,40
2020-04-19,47
2020-04-20,98
2020-04-21,74
2020-04-22,67
2020-04-23,70
2020-04-24,57
2020-04-25,29
2020-04-26,38
2020-04-27,81
2020-04-28,83
2020-04-29,120
2020-04-30,77
2020-05-01,119
2020-05-02,43
2020-05-03,36
2020-05-04,67
2020-05-05,127
2020-05-06,106
2020-05-07,69
2020-05-08,83
2020-05-09,36
2020-05-10,18
2020-05-11,83
2020-05-12,87
2020-05-13,105
2020-05-14,107
2020-05-15,97
2020-05-16,48
2020-05-17,35
2020-05-18,80
2020-05-19,98
2020-05-20,75
2020-05-21,76
2020-05-22,73
2020-05-23,24
